feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T447	E1	yes	0.971810570246015	1.70540748390389	37	2	0.572425565473942	0.993094421927372
T448	E1	yes	0.962291274380055	1.70320572939513	37	2	0.575685538074841	0.993094421927372
T449	E1	yes	0.790042144891801	1.66199314479687	37	2	0.637485007922587	0.993094421927372
T450	E1	yes	-2.19626004664605	1.13698013023856	37	5	0.0615300134520715	0.993094421927372
T451	E1	yes	-2.19626004664605	1.13698013023856	37	5	0.0615300134520715	0.993094421927372
T452	E1	yes	-2.007516821784	1.14656877432668	37	5	0.0887260914064915	0.993094421927372
T453	E1	yes	-1.60583477461863	1.08002322052183	37	4	0.146007801039019	0.993094421927372
T454	E1	yes	1.62356165000491	1.22263928784364	37	6	0.192801605591657	0.993094421927372
T455	E1	yes	13.7219590059246	509.512421834548	37	1	0.978667304998689	0.993094421927372
T456	E1	yes	12.2468170582651	245.491659484974	37	1	0.960496132226543	0.993094421927372
T457	E1	yes	-12.097207222645	126.911423153087	37	1	0.924604259934032	0.993094421927372
T458	E1	yes	-12.3292093025882	142.355533713908	37	1	0.931476250669917	0.993094421927372
T459	E1	yes	1.07166912290758	1.72783385518613	37	2	0.539118518938488	0.993094421927372
T460	E1	yes	-11.0880911985897	77.0149670797508	37	1	0.886347427770888	0.993094421927372
T461	E1	yes	-10.8556682994678	68.6457891737815	37	1	0.875255115685014	0.993094421927372
T462	E1	yes	0.5401997090607	1.59834080638065	37	2	0.737400707584304	0.993094421927372
T463	E1	yes	0.519458046417735	1.59288649108398	37	2	0.746282204856168	0.993094421927372
T464	E1	yes	11.4413416733338	105.317753938754	37	2	0.914111327359069	0.993094421927372
T465	E1	yes	9.40096426692772	60.0182020245131	37	1	0.876432391624195	0.993094421927372
T466	E1	yes	-12.5453958615335	158.433983125545	37	1	0.937337484508352	0.993094421927372
T467	E1	yes	-11.9914785569487	120.440417033443	37	1	0.921258912653345	0.993094421927372
T468	E1	yes	-10.9843752063645	73.1611301610357	37	1	0.881516467136487	0.993094421927372
T469	E1	yes	11.763598024402	193.26701893567	37	1	0.951811316446413	0.993094421927372
T470	E1	yes	13.5831733745462	475.684834995828	37	1	0.977381717951702	0.993094421927372
T471	E1	yes	-1.17629996437174	1.44085442534439	37	2	0.419798803641461	0.993094421927372
T472	E1	yes	14.5662931522064	59.5457299257689	37	2	0.808176357449473	0.993094421927372
T473	E1	yes	13.984753690134	48.3776175727652	37	2	0.774229469473615	0.993094421927372
T474	E1	yes	11.7202632894461	189.16552502356	37	1	0.950948979780225	0.993094421927372
T380	E1	yes	-0.0079568927925752	0.72575940309068	37	19	0.991314791151569	0.995515277554754
T394	E1	yes	-0.00202374071996168	0.289246668744147	37	35	0.994457301702071	0.996559748428714
T291	E1	yes	0.00116518235552427	0.372069804898096	37	37	0.997519112205616	0.997519112205616
