"","Phylum","Class","Order","Family","Genus","Species","OTU"
"JRJTB:01651:01085","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium","JRJTB:01651:01085"
"JRJTB:01651:01725","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01651:01725"
"JRJTB:01651:02876","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01651:02876"
"JRJTB:01651:03356","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","JRJTB:01651:03356"
"JRJTB:01652:01612","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Alloprevotella",NA,"JRJTB:01652:01612"
"JRJTB:01652:01781","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Alistipes","D_6__uncultured bacterium","JRJTB:01652:01781"
"JRJTB:01652:02767","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__A2","D_6__uncultured bacterium","JRJTB:01652:02767"
"JRJTB:01653:01599","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01653:01599"
"JRJTB:01653:02126","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014",NA,"JRJTB:01653:02126"
"JRJTB:01653:03242","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae NK4A214 group","D_6__uncultured bacterium","JRJTB:01653:03242"
"JRJTB:01654:01434","D_1__Deferribacteres","D_2__Deferribacteres","D_3__Deferribacterales","D_4__Deferribacteraceae","D_5__Mucispirillum",NA,"JRJTB:01654:01434"
