"","Phylum","Class","Order","Family","Genus","Species","OTU"
"GAYR01026362.62.2014","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Solanum melongena (eggplant)","D_6__Solanum melongena (eggplant)","GAYR01026362.62.2014"
"CVJT01000011.50.2173","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus","D_6__Staphylococcus aureus","CVJT01000011.50.2173"
"KF625183.1.1786","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Klebsiella","D_6__Klebsiella oxytoca","KF625183.1.1786"
"AYSG01000002.292.2076","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","D_6__Streptococcus thermophilus TH1435","AYSG01000002.292.2076"
"CCPS01000022.154.1916","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli","CCPS01000022.154.1916"
"KJ923794.1.1762","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus","D_6__Staphylococcus aureus","KJ923794.1.1762"
"CP006736.223921.225660","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Shigella dysenteriae 1617","CP006736.223921.225660"
"GEMN01027092.33.1623","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Pinus sylvestris (Scots pine)","D_5__Pinus sylvestris (Scots pine)","D_6__Pinus sylvestris (Scots pine)","GEMN01027092.33.1623"
"EU622687.1.1587","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 5","D_6__uncultured bacterium","EU622687.1.1587"
"KY646024.1.1591","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas","D_6__Pseudomonas sp.","KY646024.1.1591"
"JUOP01000215.81.1657","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","D_6__Enterococcus faecalis","JUOP01000215.81.1657"
"JN628990.1.1569","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","D_6__Enterococcus faecalis","JN628990.1.1569"
"KF843412.1.1565","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured bacterium","KF843412.1.1565"
"LG042641.312212.313771","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus reuteri","LG042641.312212.313771"
"AB559692.1.1569","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AB559692.1.1569"
"AB559728.1.1569","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AB559728.1.1569"
"KX960105.1.1558","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","D_6__Enterococcus faecalis","KX960105.1.1558"
"AY349382.1.1568","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus sp. oral clone HT002","AY349382.1.1568"
"AB559668.1.1567","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","AB559668.1.1567"
"AB606407.1.1554","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__uncultured","D_6__uncultured bacterium","AB606407.1.1554"
"AB969632.1.1565","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AB969632.1.1565"
"DQ394600.1.1565","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","DQ394600.1.1565"
"EU622770.1.1565","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU622770.1.1565"
"EU791072.1.1553","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","EU791072.1.1553"
"KF738665.1.1553","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus gasseri","KF738665.1.1553"
"KU161106.1.1565","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus colini","KU161106.1.1565"
"DQ394665.1.1563","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","DQ394665.1.1563"
"DQ394662.1.1562","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","DQ394662.1.1562"
"JQ805635.1.1591","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus gasseri","JQ805635.1.1591"
"AY858424.1.1561","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AY858424.1.1561"
"DQ394666.1.1561","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","DQ394666.1.1561"
"AF197125.1.1555","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","AF197125.1.1555"
"AM277369.1.1548","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF39","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium","AM277369.1.1548"
"DQ105660.1.1557","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","DQ105660.1.1557"
"DQ288684.1.1556","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","DQ288684.1.1556"
"LQNG01000112.68.1642","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","LQNG01000112.68.1642"
"AB506139.1.1558","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AB506139.1.1558"
"AB507689.1.1558","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AB507689.1.1558"
"AB606249.1.1546","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","D_6__uncultured bacterium","AB606249.1.1546"
"AB824407.1.1559","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AB824407.1.1559"
"DQ318870.1.1555","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","DQ318870.1.1555"
"AB627542.1.1557","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","AB627542.1.1557"
"EU791265.1.1545","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","EU791265.1.1545"
"AATF01001055.137.1680","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__mouse gut metagenome","AATF01001055.137.1680"
"AY958894.1.1549","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AY958894.1.1549"
"JQCN01000019.62.1605","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","JQCN01000019.62.1605"
"KF476042.1.1565","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus","D_6__Staphylococcus saprophyticus subsp. saprophyticus","KF476042.1.1565"
"AJ301839.1.1556","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","Ambiguous_taxa","AJ301839.1.1556"
"AB606326.1.1542","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","D_6__uncultured bacterium","AB606326.1.1542"
"KJ833601.1.1542","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus reuteri","KJ833601.1.1542"
"AJAS01000002.402945.404493","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","Ambiguous_taxa","AJAS01000002.402945.404493"
"AY941840.1.1568","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli","AY941840.1.1568"
"FJ463818.1.1541","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli","FJ463818.1.1541"
"HK693990.17.1557","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","Ambiguous_taxa","HK693990.17.1557"
"CP007394.148.1706","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli","CP007394.148.1706"
"EF025907.1.1552","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli","EF025907.1.1552"
"JFOF01000052.9721.11268","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptostreptococcaceae","D_5__Clostridioides","D_6__Clostridioides difficile","JFOF01000052.9721.11268"
"ACRY02000003.380006.381551","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Family XI","D_5__Gemella","D_6__Gemella sanguinis M325","ACRY02000003.380006.381551"
"AJ242969.1.1539","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus crispatus","AJ242969.1.1539"
"CP015906.2140419.2141977","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","Ambiguous_taxa","CP015906.2140419.2141977"
"FJ951901.1.1538","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","D_6__uncultured bacterium","FJ951901.1.1538"
"CP012152.200511.202072","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Bacillaceae","D_5__Anoxybacillus","Ambiguous_taxa","CP012152.200511.202072"
"FJ879275.1.1537","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","Ambiguous_taxa","FJ879275.1.1537"
"GQ505032.1.1537","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","GQ505032.1.1537"
"HM124144.1.1537","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF39","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium","HM124144.1.1537"
"AB969423.1.1547","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","AB969423.1.1547"
"EU791219.1.1536","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","EU791219.1.1536"
"FJ880025.1.1536","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","FJ880025.1.1536"
"AFST01000003.1612.3154","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","Ambiguous_taxa","AFST01000003.1612.3154"
"DQ288680.1.1547","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","DQ288680.1.1547"
"DQ905283.1.1535","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","DQ905283.1.1535"
"EF031001.1.1547","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","EF031001.1.1547"
"EU723854.1.1535","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured bacterium","EU723854.1.1535"
"L23507.1.1535","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus reuteri","L23507.1.1535"
"AY959117.1.1537","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AY959117.1.1537"
"EF406864.1.1535","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","EF406864.1.1535"
"EU845654.1.1551","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","EU845654.1.1551"
"DQ394661.1.1545","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","DQ394661.1.1545"
"EF686530.1.1533","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","EF686530.1.1533"
"EU791081.1.1533","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","EU791081.1.1533"
"GQ451195.1.1535","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","GQ451195.1.1535"
"AB606277.1.1532","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AB606277.1.1532"
"EU791131.1.1532","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","EU791131.1.1532"
"HK555817.1.1532","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__unidentified","HK555817.1.1532"
"JN713381.1.1544","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Aerococcaceae","D_5__Globicatella","D_6__Globicatella sp. canine oral taxon 218","JN713381.1.1544"
"JQ084715.1.1532","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","Ambiguous_taxa","JQ084715.1.1532"
"AB627471.1.1543","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AB627471.1.1543"
"CDMW01000001.16532.18068","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","D_6__Streptococcus sanguinis","CDMW01000001.16532.18068"
"CDYJ01035375.5063.6592","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 5","Ambiguous_taxa","CDYJ01035375.5063.6592"
"FJ880194.1.1530","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","FJ880194.1.1530"
"JN008436.1.1530","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured Ruminococcaceae bacterium","JN008436.1.1530"
"LC176070.1.1536","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas","D_6__Pseudomonas aeruginosa","LC176070.1.1536"
"LN612693.1.1530","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","LN612693.1.1530"
"AF280866.1.1541","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Xanthomonadales","D_4__Xanthomonadaceae","D_5__Pseudoxanthomonas","Ambiguous_taxa","AF280866.1.1541"
"AY959035.1.1536","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AY959035.1.1536"
"AYGZ01000001.327.1863","D_1__Deferribacteres","D_2__Deferribacteres","D_3__Deferribacterales","D_4__Deferribacteraceae","D_5__Mucispirillum","D_6__Mucispirillum schaedleri ASF457","AYGZ01000001.327.1863"
"CP006776.2018563.2020110","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","Ambiguous_taxa","CP006776.2018563.2020110"
"CP019573.289123.290677","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__S31","D_6__Staphylococcaceae bacterium S31","CP019573.289123.290677"
"HM124277.1.1529","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF39","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium","HM124277.1.1529"
"JX841323.1.1541","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","JX841323.1.1541"
"JX898154.1.1543","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Bacillaceae","D_5__Bacillus","Ambiguous_taxa","JX898154.1.1543"
"CP001918.5152784.5154334","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Enterobacter","D_6__Enterobacter cloacae subsp. cloacae ATCC 13047","CP001918.5152784.5154334"
"CP007391.4812088.4813634","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","Ambiguous_taxa","CP007391.4812088.4813634"
"EU844697.1.1539","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","EU844697.1.1539"
"FJ879725.1.1573","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium","FJ879725.1.1573"
"HM124131.1.1528","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","HM124131.1.1528"
"JX218307.1.1528","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured rumen bacterium","JX218307.1.1528"
"M58839.1.1552","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","D_6__Streptococcus salivarius subsp. salivarius","M58839.1.1552"
"AB627729.1.1539","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Eubacterium] xylanophilum group","D_6__uncultured bacterium","AB627729.1.1539"
"AB969334.1.1539","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","D_6__uncultured bacterium","AB969334.1.1539"
"AIGU01000070.44831.46365","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","Ambiguous_taxa","AIGU01000070.44831.46365"
"CZAB01000004.3636.5162","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","D_6__[Clostridium] clostridioforme","CZAB01000004.3636.5162"
"EU842501.1.1537","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","EU842501.1.1537"
"EU845426.1.1528","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","EU845426.1.1528"
"HM124053.1.1527","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","HM124053.1.1527"
"KC561105.1.1528","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus oris","KC561105.1.1528"
"M58837.1.1552","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","Ambiguous_taxa","M58837.1.1552"
"AB976554.1.1526","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus gasseri","AB976554.1.1526"
"DD361258.4.1529","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas","D_6__Pseudomonas fluorescens","DD361258.4.1529"
"GU084441.1.1526","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","Ambiguous_taxa","GU084441.1.1526"
"HE681389.1.1540","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Enterobacter","D_6__uncultured bacterium","HE681389.1.1540"
"JGZF01000005.1.1534","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505","JGZF01000005.1.1534"
"ABHO01000013.881.2425","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","Ambiguous_taxa","ABHO01000013.881.2425"
"EF603968.1.1525","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","D_6__uncultured bacterium","EF603968.1.1525"
"EU622700.1.1525","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","EU622700.1.1525"
"JF712668.1.1525","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured Escherichia sp.","JF712668.1.1525"
"KC561128.1.1525","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus sp. M20","KC561128.1.1525"
"ACQV01000002.9075.10620","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Neisseria flavescens SK114","ACQV01000002.9075.10620"
"ASTF01000015.433637.435168","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__Lachnospiraceae bacterium 10-1","ASTF01000015.433637.435168"
"AY464464.1.1546","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Morganella","Ambiguous_taxa","AY464464.1.1546"
"CP007391.155676.157218","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","Ambiguous_taxa","CP007391.155676.157218"
"GU303678.1.1524","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF39","D_4__uncultured rumen bacterium","D_5__uncultured rumen bacterium","D_6__uncultured rumen bacterium","GU303678.1.1524"
"JQ410832.1.1532","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Serratia","D_6__uncultured bacterium","JQ410832.1.1532"
"JX852667.1.1567","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured Shigella sp.","JX852667.1.1567"
"KX570900.1.1529","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus gasseri","KX570900.1.1529"
"AB506445.1.1535","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Rahnella","Ambiguous_taxa","AB506445.1.1535"
"AF243154.1.1523","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus vaginalis","AF243154.1.1523"
"AF262239.1.1537","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","Ambiguous_taxa","AF262239.1.1537"
"AIGO01000056.3386.4915","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli DEC9E","AIGO01000056.3386.4915"
